epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8043,1.02757,3.24338,1.10772,0.00333,1,0.34743,0.2105,0.6518,2.98805,0.85481,8e-05,8e-05,8e-05
2,34.3831,0.71423,2.6104,0.94622,0.00333,1,0.95649,0.80763,0.51158,2.72163,0.68463,0.00017406,0.00017406,0.00017406
3,50.8792,0.5269,1.50183,0.87521,0.97061,0.95,0.99262,0.84014,0.59162,1.96715,0.69178,0.00026152,0.00026152,0.00026152
4,74.1532,0.50102,1.1966,0.83788,0.98987,0.95,0.99045,0.90095,0.50715,1.99541,0.70825,0.00034238,0.00034238,0.00034238
5,97.447,0.4511,1.25051,0.83314,0.99062,0.95,0.99262,0.86978,0.54645,2.11362,0.708,0.00041664,0.00041664,0.00041664
6,122.997,0.42322,1.10013,0.85174,1,0.97935,0.995,0.89578,0.4802,2.10998,0.68702,0.0004843,0.0004843,0.0004843
7,147.936,0.43074,1.02405,0.83015,0.82472,0.6,0.80075,0.72153,0.48266,2.2703,0.68288,0.00054536,0.00054536,0.00054536
8,163.783,0.43981,1.0206,0.84375,0.90369,0.7,0.87207,0.82192,0.47263,2.19986,0.68006,0.00059982,0.00059982,0.00059982
9,179.53,0.4414,0.99573,0.82734,0.9628,0.7,0.88504,0.81851,0.44202,2.26013,0.71414,0.00064768,0.00064768,0.00064768
10,195.081,0.42137,0.98172,0.85791,0.99358,0.75,0.90055,0.79121,0.45735,2.03392,0.72451,0.00068894,0.00068894,0.00068894
11,211.304,0.43832,0.8913,0.84272,0.98447,0.75,0.88304,0.78905,0.43043,1.98871,0.73475,0.0007236,0.0007236,0.0007236
12,229.471,0.42568,0.96344,0.85672,0.99569,0.75,0.87075,0.79706,0.43114,2.1675,0.72804,0.00075166,0.00075166,0.00075166
13,245.886,0.40753,0.8634,0.85626,1,0.79226,0.995,0.89322,0.44646,1.92654,0.70577,0.00077312,0.00077312,0.00077312
14,261.553,0.41934,0.8464,0.82945,0.98533,1,0.995,0.9366,0.37437,1.30435,0.64827,0.00078798,0.00078798,0.00078798
15,277.87,0.41105,0.82944,0.83421,0.98499,1,0.995,0.93366,0.44823,1.13261,0.6539,0.00079624,0.00079624,0.00079624
16,293.366,0.43432,0.86358,0.86694,0.98527,1,0.995,0.93265,0.45763,1.09987,0.65663,0.0007979,0.0007979,0.0007979
17,309.361,0.38241,0.77037,0.82141,0.9945,1,0.995,0.94387,0.35081,0.9467,0.6427,0.00079296,0.00079296,0.00079296
18,324.987,0.37956,0.80463,0.8414,0.99415,1,0.995,0.9234,0.36285,0.90499,0.65339,0.00078142,0.00078142,0.00078142
19,340.878,0.36041,0.74129,0.81796,0.99523,1,0.995,0.9564,0.33118,0.88507,0.64952,0.00076328,0.00076328,0.00076328
20,357.042,0.36714,0.75577,0.8265,0.99225,1,0.995,0.98377,0.28599,0.90541,0.63767,0.00073854,0.00073854,0.00073854
21,373.152,0.36824,1.17598,0.81179,0.98649,1,0.995,0.99001,0.26925,0.9737,0.63376,0.00068,0.00068,0.00068
22,389.484,0.35453,1.05506,0.84098,0.9865,1,0.995,0.98091,0.26633,1.16782,0.6356,0.000614,0.000614,0.000614
23,406.761,0.36528,1.12227,0.83229,0.98722,1,0.995,0.98951,0.28832,1.25137,0.64106,0.000548,0.000548,0.000548
24,423.857,0.36518,1.09593,0.84634,0.9958,1,0.995,0.97102,0.2934,1.05366,0.66624,0.000482,0.000482,0.000482
25,441.635,0.30278,1.02455,0.83432,0.99664,1,0.995,0.97027,0.27014,0.86123,0.66277,0.000416,0.000416,0.000416
26,457.598,0.32642,0.95174,0.81843,0.99672,1,0.995,0.97549,0.25513,0.8016,0.65639,0.00035,0.00035,0.00035
27,473.255,0.30781,0.91532,0.83507,0.9966,1,0.995,0.995,0.25312,0.78273,0.65247,0.000284,0.000284,0.000284
28,489.263,0.34248,0.92281,0.82376,0.99678,1,0.995,0.995,0.23991,0.76264,0.6431,0.000218,0.000218,0.000218
29,504.589,0.31737,0.94219,0.80428,0.99697,1,0.995,0.995,0.23073,0.74567,0.64192,0.000152,0.000152,0.000152
30,519.978,0.30121,0.91265,0.81073,0.99705,1,0.995,0.995,0.22274,0.73043,0.64238,8.6e-05,8.6e-05,8.6e-05
